Scheme_name,Ministry,Description,Eligibility,Benefits,Document_Required,Official_link
Kanyashree Prakalpa,"Department of Women Development and Social Welfare and Child Development (DWD), Government of West Bengal", A conditional cash transfer scheme to improve the life and status of girls by helping them pursue higher education and preventing early marriages.,Girls aged 13-18 years; must be unmarried; must be enrolled in an educational institution; family income should be less than Rs. 1.20 Lakh per annum.,"K1: Annual grant of Rs. 1,000. K2: One-time grant of Rs. 25,000 upon turning 18.","Aadhar Card, Birth Certificate, Unmarried Declaration, Bank Account Details, Income Certificate.",https://kanyashree.wb.gov.in/
Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,National Health Authority (NHA) under Ministry of Health and Family Welfare,"The world's largest government-funded healthcare program providing financial protection at primary, secondary and tertiary care hospitalization.","Families identified through the Socio-Economic Caste Census (SECC) 2011 for rural and urban categories, along with other beneficiaries as notified by participating States/UTs. Eligibility depends on deprivation, occupation, or state-specific inclusion criteria.",Health insurance cover of up to Rs. 5 Lakhs per family per year. Provides cashless and paperless access to hospital services.,"Aadhaar (where applicable), PM-JAY e-card/Ayushman Card, ration card or other identity/address documents as required for verification.",https://pmjay.gov.in
Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),Ministry Of Agriculture and Farmers Welfare,A central sector scheme providing direct income support to all landholding farmers' families in the country to supplement their financial needs for agriculture and allied activities.,"All landholding farmers' families (husband, wife, and minor children) who own cultivable land as per state/UT land records. (Note: Higher economic status individuals and income tax payers are excluded).","An amount of ?6,000/- per year in 3 equal installments of ?2,000/- every four months is provided to each eligible family.","Aadhar Card, Active Bank Account (Aadhar seeded), Land ownership records (Khatauni).",https://pmkisan.gov.in/
Sukanya Samriddhi Yojana (SSY),Ministry of Finance,"A government-backed small savings scheme targeted at the parents of a girl child, designed to build a dedicated fund for her future education and marriage expenses.","A government-backed small savings scheme targeted at the parents of a girl child, designed to build a dedicated fund for her future education and marriage expenses.","Offers a high interest rate, tax deductions under Section 80C (up to Rs. 1.5 Lakh), and the final maturity amount is completely tax-free.","Birth Certificate of the girl child, Aadhar Card and PAN Card of the parent/guardian.",https://www.indiapost.gov.in
Pradhan Mantri Mudra Yojana (PMMY),Ministry of Finance,"A flagship scheme to provide collateral-free micro-credit facilities to non-corporate, non-farm small and micro-enterprises to promote entrepreneurship.","Any Indian citizen who has a business plan for a non-farm sector income-generating activity (like manufacturing, trading, or services) and requires loan support up to Rs. 10 Lakh.","Any Indian citizen who has a business plan for a non-farm sector income-generating activity (like manufacturing, trading, or services) and requires loan support up to Rs. 10 Lakh.","Aadhar Card, PAN Card, Proof of Business Identity/Address, Bank Statement, and Passport-size photographs.",https://www.mudra.org.in
Pradhan Mantri Awas Yojana (PMAY),Ministry of Housing and Urban Affairs (Urban) / Ministry of Rural Development (Gramin),"A flagship housing scheme launched to provide affordable, all-weather 'pucca' houses with basic amenities to eligible homeless families and those living in dilapidated houses.","The beneficiary family must not own a pucca house anywhere in India. Beneficiaries are categorized into EWS (Economically Weaker Section), LIG, and MIG based on income. A female family member must be a co-owner of the property.","Upfront financial assistance for house construction, plus massive interest subsidies on home loans (up to Rs. 2.67 Lakh) under the Credit Linked Subsidy Scheme (CLSS).","Aadhar Card, Income Certificate, PAN Card, Bank Statement, and a Declaration of not owning a pucca house.",https://pmaymis.gov.in
Beti Bachao Beti Padhao (BBBP),Ministry of Women and Child Development (in collaboration with Health & Education ministries),A nationwide campaign aimed at addressing the declining Child Sex Ratio (CSR) and promoting the empowerment of girls through education and life-cycle support.,This is a universal campaign for the entire community. It specifically targets districts with low sex ratios to change social mindsets.,"Generates mass public awareness regarding the importance of the girl child, improves access to welfare services for girls, and strengthens educational and health infrastructure for gender equality.","Not applicable for direct cash (Since it's a social campaign, but school enrollments under it require Birth Certificate and Aadhar).",https://wcd.gov.in
Stand-Up India Scheme,Ministry of Finance,"Facilitates bank loans to encourage entrepreneurship among Scheduled Castes (SC), Scheduled Tribes (ST), and women by funding new (greenfield) enterprises.","SC/ST and/or women entrepreneurs above 18 years of age. The loan is strictly for setting up a new enterprise in manufacturing, services, agri-allied activities, or the trading sector.",Collateral-free bank loans ranging from Rs. 10 Lakh to Rs. 1 Crore.,"Aadhar Card, PAN Card, Caste Certificate (if applicable), Project/Business Plan, and Bank Statement.",https://www.standupmitra.in
Pradhan Mantri Ujjwala Yojana (PMUY),Ministry of Petroleum and Natural Gas,"A major social welfare initiative to provide clean cooking fuel (LPG) to women belonging to Below Poverty Line (BPL) and marginalized households, protecting them from the health hazards of traditional cooking fuels.","An adult woman belonging to a BPL family, SC/ST household, or Antyodaya Anna Yojana (AAY) beneficiary. There must not be any other active LPG connection in the same household.","Financial support of Rs. 1,600 for a new LPG connection, along with a free first cylinder refill and a free gas stove (hotplate).","Aadhar Card, BPL Ration Card, Bank Account Details, and a Passport-size photograph.",https://www.pmuy.gov.in
Atal Pension Yojana (APY),Ministry of Finance,A government-backed pension scheme primarily aimed at the unorganized sector to provide a guaranteed minimum income and financial security during old age.,Any Indian citizen between the ages of 18 and 40 years who has a valid savings bank account or post office savings account.,"A guaranteed minimum monthly pension ranging from Rs. 1,000 to Rs. 5,000 upon reaching the age of 60, depending on the contribution amount and age of joining.",Aadhar Card and an Active Bank Account (to set up auto-debit for monthly contributions).,https://www.npscra.proteantech.in
